filename,format,generation,serial_hex,valid
A-DATA ADOVF1B163G2G.thp,TH20,?,,no
A-DATA AO1L16BC4R1-BX7S.thp,TH20,DDR3,0xDEBA0200,yes
A-DATA AX.thp,TH53,DDR5,0x00011076,yes
A-DATA AX4U320016G16A-DCBK2.thp,TH43,DDR4,0xEA400400,yes
A-DATA AX4U320016G16A-DT50.thp,TH42,?,,no
A-DATA AX4U32008G16A-SBKD35.thp,TH43,DDR4,0x444A0200,yes
A-DATA AX4U360016G18I-DCBK2.thp,TH43,DDR4,0xF4E10200,yes
A-DATA AX4U360016G18I-DCBKD.thp,TH43,DDR4,0x19FE0100,yes
A-DATA AX4U360016G18I-DT41.thp,TH41,DDR3,0x07009604,yes
A-DATA AX4U360016G18I-DTBKD.thp,TH43,DDR4,0x15400100,yes
A-DATA AX4U36008G18I-ST41.thp,TH41,DDR4,0x1D630F76,yes
A-DATA AX5U5200C3816G-B.thp,TH53,DDR5,0x00328455,yes
A-DATA AX5U5200C3816G-DCLARWH.thp,TH53,DDR5,0x00011076,yes
A-DATA AX5U6000C3016G-BLABBK.thp,TH53,DDR5,0x00229965,yes
A-DATA AX5U6000C3024G-BLABRBK.thp,TH53,DDR5,0x00079795,yes
A-DATA AX5U6000C3032G-DCLARBK.thp,TH53,DDR5,0x00520700,yes
A-DATA AX5U6000C3032G-DCLARWH.thp,TH53,DDR5,0x00088486,yes
A-DATA AX5U6000C4016G-DCLABK.thp,TH53,DDR5,0x00276797,yes
A-DATA AX5U6400C3232G-BLARBK.thp,TH53,DDR5,0x00243981,yes
A-DATA DDR3 2200  2OZ.thp,TH20,DDR3,0x00000000,yes
A-DATA DDR4 2666 2OZ.thp,TH43,DDR4,0x63400400,yes
A-DATA DDR4 3000 (1).thp,TH43,DDR4,0xDE010000,yes
A-DATA DDR4 3000 (2).thp,TH43,?,,no
A-DATA DDR4 3000 (3).thp,TH40,?,,no
A-DATA DDR4 3000 2OZ.thp,TH43,?,,no
A-DATA DDR4 3000.thp,TH43,DDR4,0xEE800000,yes
A-DATA DDR4 3200 (1).thp,TH43,?,,no
A-DATA DDR4 3200 (2).thp,TH43,DDR4,0x89360600,yes
A-DATA DDR4 3200 (3).thp,TH43,DDR4,0x58360100,yes
A-DATA DDR4 3200 (4).thp,TH43,?,,no
A-DATA DDR4 3200 (5).thp,TH40,?,,no
A-DATA DDR4 3200 (6).thp,TH43,DDR4,0x07550600,yes
A-DATA DDR4 3200.thp,TH43,DDR4,0xD3B50100,yes
A-DATA DDR4 3600 (1).thp,TH43,DDR4,0x29D20000,yes
A-DATA DDR4 3600 (3).thp,TH43,DDR4,0xC8580000,yes
A-DATA DDR4 3600 (4).thp,TH41,DDR4,0x84B30E76,yes
A-DATA DDR4 3600.thp,TH43,DDR4,0xC7D10000,yes
A-DATA Undefined (1).thp,TH43,DDR4,0x87BE0100,yes
A-DATA Undefined (2).thp,TH43,DDR4,0xE20D0000,yes
A-DATA Undefined (3).thp,TH43,DDR4,0x74B00000,yes
A-DATA Undefined.thp,TH43,DDR4,0x39D70300,yes
AMD R5S38G1601U2S.thp,TH20,DDR3,0x00000000,yes
AMD R744G2400U1S.thp,TH43,DDR4,0x00000000,yes
AMD R748G2606U2S.thp,TH43,DDR4,0x6CE50852,yes
AMD R9S432G3206U2K (1).thp,TH41,DDR4,0x74770A76,yes
AMD R9S432G3206U2K.thp,TH43,DDR4,0x00000000,yes
AMD R9S48G3206U2S.thp,TH43,DDR4,0x00000000,yes
