filename,format,generation,serial_hex,valid
A-DATA AX4U320016G16A-DCBK2.thp,TH43,DDR4,0xEA400400,yes
A-DATA AX4U32008G16A-SBKD35.thp,TH43,DDR4,0x444A0200,yes
A-DATA AX4U360016G18I-DCBK2.thp,TH43,DDR4,0xF4E10200,yes
A-DATA AX4U360016G18I-DCBKD.thp,TH43,DDR4,0x19FE0100,yes
A-DATA AX4U360016G18I-DTBKD.thp,TH43,DDR4,0x15400100,yes
A-DATA AX4U36008G18I-ST41.thp,TH41,DDR4,0x1D630F76,yes
A-DATA DDR4 2666 2OZ.thp,TH43,DDR4,0x63400400,yes
A-DATA DDR4 3000 (1).thp,TH43,DDR4,0xDE010000,yes
A-DATA DDR4 3000.thp,TH43,DDR4,0xEE800000,yes
A-DATA DDR4 3200 (2).thp,TH43,DDR4,0x89360600,yes
A-DATA DDR4 3200 (3).thp,TH43,DDR4,0x58360100,yes
A-DATA DDR4 3200 (6).thp,TH43,DDR4,0x07550600,yes
A-DATA DDR4 3200.thp,TH43,DDR4,0xD3B50100,yes
A-DATA DDR4 3600 (1).thp,TH43,DDR4,0x29D20000,yes
A-DATA DDR4 3600 (3).thp,TH43,DDR4,0xC8580000,yes
A-DATA DDR4 3600 (4).thp,TH41,DDR4,0x84B30E76,yes
A-DATA DDR4 3600.thp,TH43,DDR4,0xC7D10000,yes
A-DATA Undefined (1).thp,TH43,DDR4,0x87BE0100,yes
A-DATA Undefined (2).thp,TH43,DDR4,0xE20D0000,yes
A-DATA Undefined (3).thp,TH43,DDR4,0x74B00000,yes
A-DATA Undefined.thp,TH43,DDR4,0x39D70300,yes
AMD R744G2400U1S.thp,TH43,DDR4,0x00000000,yes
AMD R748G2606U2S.thp,TH43,DDR4,0x6CE50852,yes
AMD R9S432G3206U2K (1).thp,TH41,DDR4,0x74770A76,yes
AMD R9S432G3206U2K.thp,TH43,DDR4,0x00000000,yes
AMD R9S48G3206U2S.thp,TH43,DDR4,0x00000000,yes
Apacer 76.D305G.D060B.thp,TH43,DDR4,0x15716522,yes
Apacer 78.D2GF9.4030B.thp,TH43,DDR4,0x66617422,yes
Asgard VAM4UX36C18AG-CGURBN.thp,TH43,DDR4,0x00000058,yes
Asgard VMA42UH-MEC1U2AW2.thp,TH43,DDR4,0xD4C16F15,yes
Asgard VMA42UI-MIC1U22T2.thp,TH43,DDR4,0xD4563330,yes
Asgard VMA44UG-MEC1U2AW2.thp,TH43,DDR4,0xD4C17007,yes
Asgard VMA45UG-MEC1U2AV5.thp,TH43,DDR4,0x000001B8,yes
Asgard VMA45UH-MEC1U22T3.thp,TH43,DDR4,0xD41634D8,yes
Asgard VMA45UH-MEC1U2AV5.thp,TH43,DDR4,0xD416320C,yes
Asgard VMA47UG-AMC1U2BV5.thp,TH43,DDR4,0xD4083676,yes
Asgard VMA47UH-AMC2U2BW3.thp,TH43,DDR4,0xD4163652,yes
Asgard VMA47UH-MEC1U2AV5.thp,TH43,DDR4,0x0000008D,yes
Avant J641GU42J2320NN.thp,TH43,DDR4,0x00001907,yes
Avant W642GU42J5213N8.thp,TH43,DDR4,0x00000000,yes
"BIWIN Storage Co.,Ltd BL.9BWWR.300 (1).thp",TH43,DDR4,0x00000000,yes
"BIWIN Storage Co.,Ltd BL.9BWWR.300 (2).thp",TH43,DDR4,0xD0023E3B,yes
"BIWIN Storage Co.,Ltd BL.9BWWR.300 (3).thp",TH43,DDR4,0xEA0122E6,yes
"BIWIN Storage Co.,Ltd BL.9BWWR.300.thp",TH43,DDR4,0x00000000,yes
"BIWIN Storage Co.,Ltd BL.9BWWR.323.thp",TH43,DDR4,0xE70203E0,yes
ChangXin Memory Technologies CXMQ3A8MA1GU6-CG1.thp,TH43,DDR4,0xB103FABA,yes
Chun Well Holding Ltd. CL18-20-20 D4-3200.thp,TH43,DDR4,0x00000000,yes
Chun Well Holding Ltd. CL18-22-22 D4-3600.thp,TH43,DDR4,0x00000000,yes
Chun Well Holding Ltd. D4U0836144B.thp,TH43,DDR4,0x00000000,yes
Chun Well Holding Ltd. D4U1636163B.thp,TH43,DDR4,0x00000000,yes
Chun Well Holding Ltd. D4U1640150B.thp,TH43,DDR4,0x00000000,yes
Colorful Ltd. CD16G3200D4NP18.thp,TH43,DDR4,0x4F802C41,yes
Colorful Ltd. CD16G3200D4NZ22.thp,TH41,DDR4,0x133A0B97,yes
Colorful Ltd. CDPC08G2666D4N8.thp,TH43,DDR4,0x20082642,yes
Corsair CM4X16GD3200C16K2E.thp,TH43,DDR4,0x00000000,yes
Corsair CM4X16GD3600C18K2D (1).thp,TH41,DDR4,0x74770A76,yes
Corsair CM4X16GD3600C18K2D.thp,TH43,DDR4,0x00000000,yes
Corsair CM4X16GE2666C16K2.thp,TH43,DDR4,0x00000000,yes
Corsair CM4X16GF3200C16K4.thp,TH41,DDR4,0xA0B66577,yes
Corsair CM4X8GC3200C16K2E-CN.thp,TH43,DDR4,0xC82E08D4,yes
Corsair CM4X8GD3200C16K2E.thp,TH43,DDR4,0x00000000,yes
Corsair CM4X8GE2400C15K4.thp,TH43,DDR4,0x00000000,yes
Corsair CMD32GX4M2B3000C15.thp,TH43,DDR4,0x00000000,yes
Corsair CMD32GX4M2C3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMD32GX4M4B2400C10.thp,TH43,DDR4,0x00000000,yes
