filename,format,generation,serial_hex,valid
A-DATA ADOVF1B163G2G.thp,TH20,?,,no
A-DATA AX4U320016G16A-DT50.thp,TH42,?,,no
A-DATA DDR4 3000 (2).thp,TH43,?,,no
A-DATA DDR4 3000 (3).thp,TH40,?,,no
A-DATA DDR4 3000 2OZ.thp,TH43,?,,no
A-DATA DDR4 3200 (1).thp,TH43,?,,no
A-DATA DDR4 3200 (4).thp,TH43,?,,no
A-DATA DDR4 3200 (5).thp,TH40,?,,no
Apacer 78.A1GA0.9K4.thp,TH20,?,,no
Asgard VMA47UG-AMC1U2AV3.thp,TH40,?,,no
Chun Well Holding Ltd. CL16-18-18 D4-3000.thp,TH42,?,,no
Chun Well Holding Ltd. CL16-18-18 D4-3200.thp,TH43,?,,no
Chun Well Holding Ltd. D4U1640180B.thp,TH43,?,,no
Conexant Undefined.thp,TH20,?,,no
Corsair CMK16GX4M2A2666C16.thp,TH43,?,,no
Corsair CMK16GX4M2D3600C18 (1).thp,TH43,?,,no
Corsair CMK16GX4M4C3000C16.thp,TH43,?,,no
Corsair CMK32GX4M2B3200C16 (2).thp,TH43,?,,no
Corsair CMK32GX4M2D3600C18 (3).thp,TH43,?,,no
Corsair CMK32GX4M2E3200C16 (4).thp,TH43,?,,no
Corsair CMK32GX4M2Z3600C18 (2).thp,TH40,?,,no
Corsair CMK32GX4M4Z3200C16.thp,TH43,?,,no
Corsair CMK32GX5M2B5200C38-PK1.thp,TH53,?,,no
Corsair CMK32GX5M2B5600C40.thp,TH53,?,,no
Corsair CMK64GX4M8A2133C13.thp,TH40,?,,no
Corsair CMN32GX4M2Z3600C18.thp,TH43,?,,no
Corsair CMW16GX4M2D3600C18.thp,TH43,?,,no
Corsair CMW32GX4M2C3000C15.thp,TH43,?,,no
Corsair CMW32GX4M2D3600C18 (4).thp,TH43,?,,no
Corsair CMW32GX4M2Z3600C 8.thp,TH43,?,,no
Crucial BL16G32C16U4RL.M16FE.thp,TH40,?,,no
Crucial BL8G32C16U4W.M8FE.thp,TH42,?,,no
Crucial BL8G36C16U4B.M8FE1 (3).thp,TH42,?,,no
Crucial BLS16G4D30AESE.M16FE.thp,TH40,?,,no
Crucial BLS8G4D30AESBK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D30AESCK.M8FE (1).thp,TH40,?,,no
Crucial CT32G4DFD832A.M16FF.thp,TH40,?,,no
Crucial CT4G4DFS8266.C8FG.thp,TH40,?,,no
Crucial CT8G4DFRA32A.C8FR.thp,TH40,?,,no
Essencore KD48GUA60-36A180U.thp,TH40,?,,no
Fujitsu AX4U360016G18I-DT4.thp,TH20,?,,no
Fujitsu F4-4000C19-16GTZR.thp,TH20,?,,no
G.Skill F4-3000C 6-8GTZR.thp,TH43,?,,no
G.Skill F4-3000C16 8GTZR.thp,TH43,?,,no
G.Skill F4-3000C16-8GTZR (2).thp,TH43,?,,no
G.Skill F4-3000C16-8GTZR.thp,TH43,?,,no
G.Skill F4-3200C14-16GTZR (1).thp,TH40,?,,no
G.Skill F4-3200C14-16GTZSK.thp,TH43,?,,no
G.Skill F4-3200C14-16GTZSW (2).thp,TH42,?,,no
